"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (20% density)"
"05/27/2025 01:09:35:721 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[run number]","init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
"8","500","10","20","5000","100","12","7.317434454154941","14.131239816323507","5409","1998","494","53","57.199999999999996","6716","409"
"3","500","10","20","5000","100","19","24.697440291314127","18.303523615722394","5604","3189","435","79","86.2","8300","604"
"9","500","10","20","5000","100","21","22.3824575266693","16.01145792177005","5627","3526","433","80.4","83.2","8104","627"
"2","500","10","20","5000","100","11","5.9053833605220225","12.512234910277325","5311","1816","494","43.8","48.8","5640","311"
"10","500","10","20","5000","100","22","23.543832123945872","15.826632673073151","5707","3616","425","76.8","82.6","9063","707"
"4","500","10","20","5000","100","12","6.58423953523015","12.572620288991509","5325","2035","494","50.8","55.2","5487","325"
"5","500","10","20","5000","100","18","18.134078212290504","16.3463687150838","5569","2994","453","75.2","83.6","7445","569"
"1","500","10","20","5000","100","12","7.178937700903107","13.31700596969233","5251","2005","489","54.2","59","4751","251"
"6","500","10","20","5000","100","14","9.887760555852486","14.698022447888828","5382","2326","489","65.2","70.8","5861","382"
"9","500","10","20","5000","100","22","23.93673449705854","15.893528787732663","5659","3700","425","78.4","83","8421","659"
"7","500","10","20","5000","100","13","8.75458909912454","14.049703473595029","5346","2151","492","58.599999999999994","62","6078","346"
"8","500","10","20","5000","100","13","9.319444444444445","15.458333333333332","5475","2168","492","61.6","66.8","6937","475"
"10","500","10","20","5000","100","23","25.141161833668296","15.676141257536608","5738","3801","413","75.8","81.39999999999999","9140","738"
"3","500","10","20","5000","100","20","27.029539351373682","17.950836604007435","5637","3335","432","80.60000000000001","85.8","8373","637"
"9","500","10","20","5000","100","23","25.578769057029927","15.697346132128743","5695","3841","416","77.8","82.39999999999999","8572","695"
"5","500","10","20","5000","100","19","20.088419236575373","16.508518438645677","5610","3173","445","76.2","84.2","7758","610"
"10","500","10","20","5000","100","24","26.525645825533505","15.565331336578062","5764","3967","405","75.4","80.4","9267","764"
"2","500","10","20","5000","100","12","7.37355271176112","14.061547836684948","5356","1963","492","51","57.99999999999999","6236","356"
"4","500","10","20","5000","100","13","8.103568929321202","14.149755073477957","5369","2216","494","57.199999999999996","63","5866","369"
"9","500","10","20","5000","100","24","27.00165654334622","15.553101417264864","5715","4004","408","76.4","81.39999999999999","9047","715"
"1","500","10","20","5000","100","13","9.076570117579582","14.525379982793233","5284","2187","483","64.2","69.6","5296","284"
"6","500","10","20","5000","100","15","11.659477290027912","15.947729002791169","5419","2487","481","69.6","76.2","6084","419"
"3","500","10","20","5000","100","21","28.60446410617334","17.83631610697768","5661","3491","420","79.4","83.6","8590","661"
"10","500","10","20","5000","100","25","27.775231460262166","15.510129251077093","5788","4126","403","75.4","80.2","9298","788"
"7","500","10","20","5000","100","14","10.804321728691477","15.112711751367215","5411","2320","489","65.8","69.8","6406","411"
"5","500","10","20","5000","100","20","21.875980340897208","16.54292586008575","5633","3326","439","78.2","84.39999999999999","7913","633"
"8","500","10","20","5000","100","14","11.459289366723482","16.520256981775272","5518","2331","486","67","74","7065","518"
"9","500","10","20","5000","100","25","28.123021257349617","15.404794210764361","5744","4158","402","76","80.2","9186","744"
"10","500","10","20","5000","100","26","28.844076341375587","15.439323010442923","5827","4320","395","73.6","78.8","9489","827"
"4","500","10","20","5000","100","14","9.863449555879624","15.458040567413494","5406","2370","491","64.60000000000001","71.8","6262","406"
"5","500","10","20","5000","100","21","23.716257357418307","16.429876192409175","5666","3505","434","79.2","84.2","8137","666"
"9","500","10","20","5000","100","26","29.290597531741096","15.271242120216638","5770","4321","397","74.8","79.2","9397","770"
"3","500","10","20","5000","100","22","30.14114879435405","17.643599294256028","5686","3664","414","78","82.39999999999999","8848","686"
"10","500","10","20","5000","100","27","29.74195264698058","15.367562294936596","5852","4484","393","74.6","78.4","9548","852"
"2","500","10","20","5000","100","13","9.466950959488273","15.56503198294243","5412","2130","489","61.4","69.39999999999999","6633","412"
"9","500","10","20","5000","100","27","30.25268864212643","15.126344321063215","5794","4497","391","74.4","78","9475","794"
"6","500","10","20","5000","100","16","13.88050694025347","16.777308388654195","5449","2642","470","73.8","81","6183","449"
"7","500","10","20","5000","100","15","12.576297049847406","16.022380467955237","5466","2484","483","69.8","75.6","6651","466"
"8","500","10","20","5000","100","15","13.90613359821207","17.246088899925503","5562","2497","478","73.4","81.6","7369","562"
"10","500","10","20","5000","100","28","30.562112072733633","15.316024127983216","5866","4686","379","71.39999999999999","75.6","9797","866"
"5","500","10","20","5000","100","22","25.431928127159644","16.30960608154803","5691","3671","422","77.60000000000001","82.6","8484","691"
"1","500","10","20","5000","100","14","10.942166711919631","16.01954928047787","5327","2350","478","70","76","5630","327"
"9","500","10","20","5000","100","28","30.968020743301643","15.038893690579084","5818","4658","388","73.6","77.60000000000001","9544","818"
"10","500","10","20","5000","100","29","31.30720082887239","15.23916422034191","5877","4845","372","69.19999999999999","74.2","9849","877"
"3","500","10","20","5000","100","23","31.774809160305345","17.385496183206108","5706","3817","406","78.60000000000001","81.2","9108","706"
"10","500","10","20","5000","100","30","31.82946665525212","15.169934080986216","5887","5000","368","68","73.6","9889","887"
"9","500","10","20","5000","100","29","31.61764705882353","14.970930232558139","5836","4810","384","72.2","76.8","9649","836"
"5","500","10","20","5000","100","23","26.78588690188497","16.143064282261964","5711","3832","415","76.6","82","8605","711"
"4","500","10","20","5000","100","15","12.180130456598093","16.557952834922226","5450","2533","486","70.8","79.60000000000001","6459","450"
"9","500","10","20","5000","100","30","32.140137090632145","14.986883303714988","5864","5000","380","70.19999999999999","76","9742","864"
"10","500","10","20","5000","100","31","32.480948348856906","15.097375105842506","5897","5000","363","64.8","72.6","9982","897"
"6","500","10","20","5000","100","17","16.167803074078353","17.196348087368545","5482","2821","458","75.8","83.8","6798","482"
"2","500","10","20","5000","100","14","11.628843829730092","16.570431046058815","5460","2306","485","68","76.2","6804","460"
"5","500","10","20","5000","100","24","28.200283419933868","16.00377893245158","5734","3995","407","75.4","80.60000000000001","8772","734"
"9","500","10","20","5000","100","31","32.699237408866175","14.9333780273192","5884","5000","372","66.4","74.4","9832","884"
"7","500","10","20","5000","100","16","14.809881327197868","16.72317752482441","5509","2657","478","74","81","7023","509"
"10","500","10","20","5000","100","32","33.08447277912927","14.981964600285211","5915","5000","356","61.4","71.2","10130","915"
"3","500","10","20","5000","100","24","32.93424375643064","17.220091665887193","5721","3982","398","77.4","79.60000000000001","9293","721"
"8","500","10","20","5000","100","16","16.363206431780565","17.805627807992433","5604","2661","468","77","84.39999999999999","7645","604"
"9","500","10","20","5000","100","32","33.20613853172957","14.93156366652841","5900","5000","369","63.2","73.8","9898","900"
"10","500","10","20","5000","100","33","33.610510560452354","14.90936304673208","5926","5000","348","56.99999999999999","69.6","10130","926"
"5","500","10","20","5000","100","25","29.586455731334997","15.77389212693126","5749","4157","399","75.4","79.4","8869","749"
"9","500","10","20","5000","100","33","33.83656055136199","14.858877584509353","5915","5000","365","59.599999999999994","73","10031","915"
"1","500","10","20","5000","100","15","13.155176865478957","16.731216111541443","5352","2500","471","73.8","80.4","5808","352"
"10","500","10","20","5000","100","34","34.20034570746564","14.832496501769693","5940","5000","342","54.2","68.4","10391","940"
"3","500","10","20","5000","100","25","34.10674981658107","17.02127659574468","5743","4174","394","76.2","78.8","9684","743"
"9","500","10","20","5000","100","34","34.34704830053667","14.791022930557816","5931","5000","360","56.2","72","10154","931"
"5","500","10","20","5000","100","26","30.540122051188632","15.657163676108935","5774","4319","394","74","78.4","8912","774"
"6","500","10","20","5000","100","18","18.48151848151848","17.42701742701743","5507","2987","448","76.8","83.6","6950","507"
"10","500","10","20","5000","100","35","34.81378860728547","14.717626925270963","5947","5018","338","51.800000000000004","67.60000000000001","10464","947"
"9","500","10","20","5000","100","35","34.83969711615917","14.733365555018526","5942","5017","356","52.800000000000004","71.2","10212","942"
"5","500","10","20","5000","100","27","31.55678968111788","15.5320673593694","5793","4495","384","72.2","76.4","9005","793"
"7","500","10","20","5000","100","17","17.023007204276087","17.04624680455496","5546","2818","472","76.4","84","7298","546"
"4","500","10","20","5000","100","16","14.491017964071856","17.065868263473057","5483","2698","480","74.6","85","6764","483"
"10","500","10","20","5000","100","36","35.3050505050505","14.634343434343434","5951","5056","334","50.4","66.8","10652","951"
"9","500","10","20","5000","100","36","35.47281135385106","14.598947536278107","5950","5058","352","49.2","70.39999999999999","10279","950"
"3","500","10","20","5000","100","26","35.114916629112216","16.854438936457864","5760","4354","385","74.6","77","9860","760"
"5","500","10","20","5000","100","28","32.363861386138616","15.408415841584159","5810","4648","374","69","74.4","9164","810"
"8","500","10","20","5000","100","17","18.899331898992187","17.84622353074397","5629","2825","456","78.60000000000001","85.8","8096","629"
