BehaviorSpace results (NetLogo 6.4.0),Stats version 2.0,,,,,,,,,,,,,,,,,,,,,,
FinalProject.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Effect of Water Density on Dengue Spread (10% density),,,,,,,,,,,,,,,,,,,,,,,
05/27/2025 01:10:17:249 +0800,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,35,0,35,,,,,,,,,,,,,,,,,,,,
init-total-humans,init-n-turtles-infected,water-density,init-total-mosquitoes,max-ticks,[step],(mean) mosquito infect humans,(std) mosquito infect humans,(mean) humans infect mosquito,(std) humans infect mosquito,(mean) total-mosquitoes,(std) total-mosquitoes,(mean) mosquito-death-toll,(std) mosquito-death-toll,(mean) cur-human-population,(std) cur-human-population,(mean) %infected-humans,(std) %infected-humans,(mean) %recovered-humans,(std) %recovered-humans,(mean) total-larvae,(std) total-larvae,(mean) total-hatched-larvae,(std) total-hatched-larvae
500,10,10,5000,100,73,36.37889709,1.314237502,13.78032207,0.360349425,5455.1,55.97222526,5431.9,54.71096782,316.9,17.74514018,1.14,0.693108938,63.34,3.53276096,5048.7,726.6867344,455.1,55.97222526
500,10,10,5000,100,74,36.37817096,1.315296817,13.77741337,0.359602853,5455.2,55.88523955,5433.4,54.64650035,316.9,17.74514018,1.06,0.632771681,63.34,3.53276096,5048.7,726.6867344,455.2,55.88523955
500,10,10,5000,100,75,36.37907564,1.318823269,13.77458499,0.359006091,5455.4,55.91278923,5435.1,54.32761729,316.8,17.61703721,1.04,0.674091982,63.32,3.507933865,5048.7,726.6867344,455.4,55.91278923
500,10,10,5000,100,76,36.37841353,1.318113002,13.77295716,0.35977252,5455.4,55.91278923,5436.9,54.71096782,316.8,17.61703721,0.96,0.611882342,63.32,3.507933865,5048.7,726.6867344,455.4,55.91278923
500,10,10,5000,100,77,36.37731195,1.318215644,13.77061557,0.359495578,5455.5,55.92897281,5439.4,55.13293027,316.8,17.61703721,0.86,0.537028863,63.32,3.507933865,5048.7,726.6867344,455.5,55.92897281
500,10,10,5000,100,78,36.37553177,1.31849955,13.76804185,0.359730149,5455.6,55.94676041,5440.4,55.55393775,316.8,17.61703721,0.76,0.463033476,63.32,3.507933865,5048.7,726.6867344,455.6,55.94676041
500,10,10,5000,100,79,36.37438322,1.318135222,13.7666533,0.360270367,5455.6,55.94676041,5441.4,56.40070922,316.8,17.61703721,0.64,0.397994975,63.32,3.507933865,5048.7,726.6867344,455.6,55.94676041
500,10,10,5000,100,80,36.37341585,1.31779808,13.76501248,0.359933294,5455.6,55.94676041,5442.9,57.04638464,316.5,17.7552809,0.52,0.37094474,63.26,3.536156105,5048.7,726.6867344,455.6,55.94676041
500,10,10,5000,100,81,36.37471658,1.31664136,13.76325917,0.360016325,5455.6,55.94676041,5443.9,57.23364395,316.5,17.7552809,0.5,0.371483512,63.26,3.536156105,5048.7,726.6867344,455.6,55.94676041
500,10,10,5000,100,82,36.37508656,1.317027447,13.76211483,0.361186887,5455.6,55.94676041,5445.4,57.2,316.4,17.76626016,0.48,0.37094474,63.24,3.538135102,5048.7,726.6867344,455.6,55.94676041
500,10,10,5000,100,83,36.37274908,1.319168195,13.7614263,0.360977832,5455.6,55.94676041,5446.4,57.77231171,316.4,17.76626016,0.44,0.332264955,63.24,3.538135102,5056.8,731.3615795,455.6,55.94676041
500,10,10,5000,100,84,36.37323793,1.318731694,13.76051807,0.360102251,5455.6,55.94676041,5447.6,57.44771536,316.3,17.81600404,0.4,0.334664011,63.22,3.547900788,5056.8,731.3615795,455.6,55.94676041
500,10,10,5000,100,85,36.37281091,1.318214408,13.75970743,0.360658488,5455.6,55.94676041,5448.3,56.89121198,316.3,17.81600404,0.3,0.256904652,63.22,3.547900788,5056.8,731.3615795,455.6,55.94676041
500,10,10,5000,100,86,36.37143288,1.320232047,13.75854499,0.361040621,5455.6,55.94676041,5449.2,56.83449657,316.3,17.81600404,0.24,0.215406592,63.22,3.547900788,5056.8,731.3615795,455.6,55.94676041
500,10,10,5000,100,87,36.37064429,1.319807929,13.75760228,0.361054703,5455.7,55.96615048,5450,56.43403229,316.3,17.81600404,0.24,0.215406592,63.22,3.547900788,5056.8,731.3615795,455.7,55.96615048
500,10,10,5000,100,88,36.37083095,1.318961361,13.75702337,0.361408432,5455.7,55.96615048,5450.5,56.17873263,316.3,17.81600404,0.22,0.166132477,63.22,3.547900788,5056.8,731.3615795,455.7,55.96615048
500,10,10,5000,100,89,36.36974239,1.319992896,13.75597363,0.361402658,5455.9,56.0097313,5451.3,56.12316812,316.3,17.81600404,0.18,0.166132477,63.22,3.547900788,5056.8,731.3615795,455.9,56.0097313
500,10,10,5000,100,90,36.36874234,1.318754816,13.75527916,0.36160117,5455.9,56.0097313,5451.7,56.29751327,316.3,17.81600404,0.16,0.195959179,63.22,3.547900788,5056.8,731.3615795,455.9,56.0097313
500,10,10,5000,100,91,36.36863212,1.317418165,13.75491673,0.361349389,5455.9,56.0097313,5451.9,56.23424224,316.3,17.81600404,0.14,0.200997512,63.22,3.547900788,5056.8,731.3615795,455.9,56.0097313
500,10,10,5000,100,92,36.36822361,1.318550959,13.754452,0.361265775,5455.9,56.0097313,5452.1,56.24135489,316.3,17.81600404,0.14,0.200997512,63.22,3.547900788,5056.8,731.3615795,455.9,56.0097313
500,10,10,5000,100,93,36.36664212,1.3173783,13.75386206,0.361005189,5455.9,56.0097313,5452.9,55.83090542,316.3,17.81600404,0.14,0.200997512,63.22,3.547900788,5064.5,736.5217241,455.9,56.0097313
500,10,10,5000,100,94,36.36689263,1.317180473,13.75363269,0.361207173,5455.9,56.0097313,5453.3,55.75132285,316.3,17.81600404,0.1,0.184390889,63.22,3.547900788,5064.5,736.5217241,455.9,56.0097313
500,10,10,5000,100,95,36.36599627,1.31815533,13.7532915,0.361639582,5455.9,56.0097313,5454,55.93031378,316.2,17.83143292,0.06,0.128062485,63.2,3.550774563,5064.5,736.5217241,455.9,56.0097313
500,10,10,5000,100,96,36.3650708,1.318091513,13.75294457,0.361742039,5455.9,56.0097313,5454.4,56.08243932,316.1,17.85189066,0.04,0.08,63.18,3.554658915,5064.5,736.5217241,455.9,56.0097313
500,10,10,5000,100,97,36.3650708,1.318091513,13.75294457,0.361742039,5456,56.0339183,5454.7,56.17125599,316.1,17.85189066,0.04,0.08,63.18,3.554658915,5064.5,736.5217241,456,56.0339183
500,10,10,5000,100,98,36.36446994,1.318685007,13.7527167,0.362030048,5456.3,56.11604049,5454.7,56.17125599,316.1,17.85189066,0.02,0.06,63.18,3.554658915,5064.5,736.5217241,456.3,56.11604049
500,10,10,5000,100,99,36.36386917,1.319279228,13.75248886,0.362318353,5456.3,56.11604049,5454.8,56.24197721,316.1,17.85189066,0.02,0.06,63.18,3.554658915,5064.5,736.5217241,456.3,56.11604049
500,10,10,5000,100,100,36.36357415,1.319663883,13.75237572,0.362464259,5456.6,56.21245414,5454.8,56.24197721,316.1,17.85189066,0.02,0.06,63.18,3.554658915,5064.5,736.5217241,456.6,56.21245414
500,10,10,5000,100,101,36.36238373,1.321030243,13.75192177,0.363045793,5456.8,56.28463378,5454.8,56.24197721,316.1,17.85189066,0.02,0.06,63.18,3.554658915,5064.5,736.5217241,456.8,56.28463378
